Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear,Origin,MPG
8,307.0,130.0,3504,12.0,70,usa,18.0
8,304.0,150.0,3433,12.0,70,usa,16.0
8,429.0,198.0,4341,10.0,70,usa,15.0
8,454.0,220.0,4354,9.0,70,usa,14.0
8,440.0,215.0,4312,8.5,70,usa,14.0
8,390.0,190.0,3850,8.5,70,usa,15.0
8,383.0,170.0,3563,10.0,70,usa,15.0
6,198.0,95.0,2833,15.5,70,usa,22.0
6,199.0,97.0,2774,15.5,70,usa,18.0
6,200.0,85.0,2587,16.0,70,usa,21.0
4,97.0,88.0,2130,14.5,70,japan,27.0
4,97.0,46.0,1835,20.5,70,europe,26.0
4,104.0,95.0,2375,17.5,70,europe,25.0
4,121.0,113.0,2234,12.5,70,europe,26.0
6,199.0,90.0,2648,15.0,70,usa,21.0
8,360.0,215.0,4615,14.0,70,usa,10.0
4,140.0,90.0,2264,15.5,71,usa,28.0
4,113.0,95.0,2228,14.0,71,japan,25.0
6,225.0,105.0,3439,15.5,71,usa,16.0
6,232.0,100.0,3288,15.5,71,usa,18.0
8,350.0,165.0,4209,12.0,71,usa,14.0
8,400.0,175.0,4464,11.5,71,usa,14.0
8,351.0,153.0,4154,13.5,71,usa,14.0
8,400.0,170.0,4746,12.0,71,usa,13.0
4,140.0,72.0,2408,19.0,71,usa,22.0
6,250.0,100.0,3282,15.0,71,usa,19.0
4,91.0,70.0,1955,20.5,71,usa,26.0
4,113.0,95.0,2278,15.5,72,japan,24.0
4,97.5,80.0,2126,17.0,72,usa,25.0
4,140.0,90.0,2408,19.5,72,usa,20.0
4,122.0,86.0,2226,16.5,72,usa,21.0
8,318.0,150.0,4135,13.5,72,usa,15.0
8,429.0,208.0,4633,11.0,72,usa,11.0
8,350.0,155.0,4502,13.5,72,usa,13.0
8,350.0,160.0,4456,13.5,72,usa,12.0
8,400.0,190.0,4422,12.5,72,usa,13.0
8,307.0,130.0,4098,14.0,72,usa,13.0
8,302.0,140.0,4294,16.0,72,usa,13.0
4,121.0,112.0,2933,14.5,72,europe,18.0
4,121.0,76.0,2511,18.0,72,europe,22.0
4,120.0,87.0,2979,19.5,72,europe,21.0
4,96.0,69.0,2189,18.0,72,europe,26.0
4,122.0,86.0,2395,16.0,72,usa,22.0
4,120.0,97.0,2506,14.5,72,japan,23.0
4,98.0,80.0,2164,15.0,72,usa,28.0
8,350.0,175.0,4100,13.0,73,usa,13.0
8,350.0,145.0,3988,13.0,73,usa,13.0
8,429.0,198.0,4952,11.5,73,usa,12.0
8,400.0,150.0,4464,12.0,73,usa,13.0
8,318.0,150.0,4237,14.5,73,usa,14.0
8,440.0,215.0,4735,11.0,73,usa,13.0
8,455.0,225.0,4951,11.0,73,usa,12.0
6,225.0,105.0,3121,16.5,73,usa,18.0
6,250.0,100.0,3278,18.0,73,usa,16.0
4,97.0,46.0,1950,21.0,73,europe,26.0
8,400.0,167.0,4906,12.5,73,usa,12.0
8,360.0,170.0,4654,13.0,73,usa,13.0
4,140.0,72.0,2401,19.5,73,usa,21.0
4,108.0,94.0,2379,16.5,73,japan,22.0
3,70.0,90.0,2124,13.5,73,japan,18.0
4,122.0,85.0,2310,18.5,73,usa,19.0
4,98.0,90.0,2265,15.5,73,europe,26.0
8,350.0,145.0,4082,13.0,73,usa,15.0
4,68.0,49.0,1867,19.5,73,europe,29.0
4,114.0,91.0,2582,14.0,73,europe,20.0
4,121.0,112.0,2868,15.5,73,europe,19.0
6,156.0,122.0,2807,13.5,73,japan,20.0
8,350.0,180.0,3664,11.0,73,usa,11.0
6,198.0,95.0,3102,16.5,74,usa,20.0
6,232.0,100.0,2901,16.0,74,usa,19.0
6,250.0,100.0,3336,17.0,74,usa,15.0
4,71.0,65.0,1836,21.0,74,japan,32.0
6,250.0,100.0,3781,17.0,74,usa,16.0
6,258.0,110.0,3632,18.0,74,usa,16.0
8,302.0,140.0,4638,16.0,74,usa,14.0
4,98.0,83.0,2219,16.5,74,europe,29.0
4,79.0,67.0,1963,15.5,74,europe,26.0
4,97.0,78.0,2300,14.5,74,europe,26.0
4,83.0,61.0,2003,19.0,74,japan,32.0
4,90.0,75.0,2125,14.5,74,usa,28.0
4,90.0,75.0,2108,15.5,74,europe,24.0
4,116.0,75.0,2246,14.0,74,europe,26.0
4,120.0,97.0,2489,15.0,74,japan,24.0
4,108.0,93.0,2391,15.5,74,japan,26.0
6,225.0,95.0,3264,16.0,75,usa,19.0
6,250.0,72.0,3432,21.0,75,usa,15.0
6,250.0,72.0,3158,19.5,75,usa,15.0
8,350.0,145.0,4440,14.0,75,usa,15.0
8,351.0,148.0,4657,13.5,75,usa,14.0
6,231.0,110.0,3907,21.0,75,usa,17.0
8,262.0,110.0,3221,13.5,75,usa,20.0
4,97.0,75.0,2171,16.0,75,japan,29.0
6,232.0,100.0,2914,16.0,75,usa,20.0
4,140.0,78.0,2592,18.5,75,usa,23.0
6,171.0,97.0,2984,14.5,75,usa,18.0
4,90.0,70.0,1937,14.0,75,europe,29.0
4,115.0,95.0,2694,15.0,75,europe,23.0
4,120.0,88.0,2957,17.0,75,europe,23.0
4,121.0,98.0,2945,14.5,75,europe,22.0
4,107.0,86.0,2464,15.5,76,europe,28.0
4,116.0,81.0,2220,16.9,76,europe,25.0
4,140.0,92.0,2572,14.9,76,usa,25.0
4,98.0,79.0,2255,17.7,76,usa,26.0
6,232.0,90.0,3085,17.6,76,usa,22.5
4,85.0,52.0,2035,22.2,76,usa,29.0
4,98.0,60.0,2164,22.1,76,usa,24.5
4,90.0,70.0,1937,14.2,76,europe,29.0
4,91.0,53.0,1795,17.4,76,japan,33.0
