Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3rd,female,26.0,0,0,7.92,S,Yes
3rd,male,,0,0,8.46,Q,No
3rd,male,2.0,3,1,21.08,S,No
3rd,female,4.0,1,1,16.7,S,Yes
1st,male,28.0,0,0,35.5,S,Yes
3rd,female,38.0,1,5,31.39,S,Yes
3rd,male,,0,0,7.9,S,No
1st,male,40.0,0,0,27.72,C,No
1st,female,,1,0,146.52,C,Yes
2nd,male,66.0,0,0,10.5,S,No
3rd,female,14.0,1,0,11.24,C,Yes
3rd,female,19.0,0,0,7.88,Q,Yes
3rd,female,18.0,1,0,17.8,S,No
1st,male,65.0,0,1,61.98,C,No
1st,male,,0,0,35.5,S,Yes
3rd,male,4.0,3,2,27.9,S,No
3rd,male,,1,1,15.25,C,Yes
2nd,female,29.0,0,0,10.5,S,Yes
3rd,male,19.0,0,0,8.16,S,No
2nd,male,32.0,0,0,10.5,S,No
2nd,male,21.0,0,0,73.5,S,No
3rd,male,,0,0,7.9,S,No
3rd,male,,0,0,8.05,S,No
2nd,male,0.83,0,2,29.0,S,Yes
3rd,male,29.0,0,0,9.5,S,Yes
3rd,female,,0,0,7.79,Q,Yes
2nd,female,17.0,0,0,10.5,S,Yes
3rd,male,16.0,1,3,34.38,S,No
1st,male,71.0,0,0,34.65,C,No
1st,male,23.0,0,1,63.36,C,Yes
3rd,male,,0,0,7.9,S,No
3rd,female,,1,0,24.15,Q,Yes
1st,male,47.0,0,0,52.0,S,No
1st,male,24.0,0,1,247.52,C,No
2nd,male,21.0,2,0,73.5,S,No
1st,female,19.0,0,2,26.28,S,Yes
1st,male,37.0,1,0,53.1,S,No
1st,male,24.0,0,0,79.2,C,No
3rd,female,22.0,0,0,7.75,S,Yes
1st,male,51.0,0,1,61.38,C,No
3rd,male,,0,0,8.66,S,No
3rd,male,9.0,0,2,20.52,S,Yes
1st,male,,0,0,25.92,S,No
1st,male,56.0,0,0,30.7,C,No
3rd,female,19.0,1,0,7.85,S,Yes
3rd,male,,0,0,7.75,Q,No
3rd,female,,0,0,7.75,Q,Yes
2nd,female,24.0,0,0,13.0,S,No
